pair,exposure_category,transport_km_valid,transport_km_strong_subsidence,transport_km_hidden_strong_subsidence,hidden_strong_subsidence_transport_fraction
20220205_20220406,railway,793.4206444620273,783.2059385359177,3.832387109282087,0.004893204865691062
20220205_20220406,transport_total,9813.681962737217,9707.097146891148,22.105666693454058,0.002277268513845434
20220325_20220909,major_road,9020.261318275034,8923.891208355115,12.77576182665877,0.0014316357660991304
20220325_20220909,railway,793.4206444620273,783.2059385359177,0.0,0.0
20220325_20220909,transport_total,9813.681962737217,9707.097146891148,12.77576182665877,0.0013161258853529047
20220711_20220828,major_road,9020.261318275034,8923.891208355115,12.02327846911895,0.0013473134295790149
20220711_20220828,railway,793.4206444620273,783.2059385359177,1.008907656309176,0.0012881767191336327
20220711_20220828,transport_total,9813.681962737217,9707.097146891148,13.032186125428128,0.0013425420522964367
20221003_20221027,major_road,9020.261318275034,8923.891208355115,12.637386762300478,0.0014161296308126833
20221003_20221027,railway,793.4206444620273,783.2059385359177,0.0,0.0
20221003_20221027,transport_total,9813.681962737217,9707.097146891148,12.637386762300478,0.0013018708447095125
