row,col,lon_center,lat_center,vlm_mm_yr,observable_count,observable_fraction,any_observable,majority_observable,not_majority_observable,strong_sub_5mm,population_weighted,population_cover_fraction,builtup_m2_weighted,builtup_cover_fraction
81,39,100.08624960594999,14.637083463158126,-10.87036872554531,28,1.0,1,1,0,1,180.79323675549443,1.0000000000001505,50983.93009180953,1.0000000000001505
81,40,100.09458293924997,14.637083463158126,-10.255594045717348,28,1.0,1,1,0,1,83.04749411328439,1.0000000000001508,13535.069665791963,1.0000000000001505
81,41,100.10291627254998,14.637083463158126,-9.180741322112802,28,1.0,1,1,0,1,18.826716561582643,1.0000000000001505,3627.0896744892343,1.0000000000001505
81,42,100.11124960584998,14.637083463158126,-10.50619117096917,28,1.0,1,1,0,1,5.696933631557321,1.0000000000001505,235.01225385500896,1.0000000000001505
81,43,100.11958293914998,14.637083463158126,-9.20122802657518,28,1.0,1,1,0,1,123.19218594306211,1.0000000000001505,28252.89974682151,1.0000000000001503
81,44,100.12791627244998,14.637083463158126,-7.746334488959281,28,1.0,1,1,0,1,210.9836138170136,1.0000000000001505,37207.94332539698,1.0000000000001505
81,45,100.13624960574998,14.637083463158126,-5.277394878781768,28,1.0,1,1,0,1,114.47710758483612,1.0000000000001505,36735.07561256189,1.0000000000001505
81,46,100.14458293904998,14.637083463158126,-8.04123084734228,28,1.0,1,1,0,1,540.0552731282128,1.0000000000018558,73684.94400826367,1.0000000000018558
81,47,100.15291627234998,14.637083463158126,-7.852566132204121,28,1.0,1,1,0,1,457.3203343949733,1.0000000000001505,102456.89560382081,1.0000000000001505
81,48,100.16124960564999,14.637083463158126,-6.313834611110073,28,1.0,1,1,0,1,217.64074960992977,1.0000000000001505,33664.139986009104,1.0000000000001503
81,49,100.16958293894999,14.637083463158126,-6.3584780048128415,28,1.0,1,1,0,1,97.0023828674686,1.0000000000001505,23955.989804317793,1.0000000000001505
81,50,100.17791627224999,14.637083463158126,-6.0387718647963196,28,1.0,1,1,0,1,122.33688302862905,1.0000000000001505,28144.02624655031,1.0000000000001505
81,51,100.18624960554997,14.637083463158126,-6.635025826937192,28,1.0,1,1,0,1,123.53699665157762,1.0000000000001505,28100.02480196932,1.0000000000001505
81,52,100.19458293884998,14.637083463158126,-7.5545599289117344,28,1.0,1,1,0,1,71.67808474112118,1.0000000000001505,6661.074830026824,1.0000000000001505
81,53,100.20291627214998,14.637083463158126,-6.6533147565700475,28,1.0,1,1,0,1,187.3065970360071,1.0000000000001505,43426.901354703834,1.0000000000001505
81,54,100.21124960544998,14.637083463158126,-7.344084833077487,28,1.0,1,1,0,1,129.71742114456865,1.0000000000001505,33239.040964184016,1.0000000000001505
81,55,100.21958293874998,14.637083463158126,-7.344084833077487,28,1.0,1,1,0,1,103.93246480304897,1.0000000000001505,25518.006829048954,1.0000000000001505
