left_out_block,n_cells_left_out,converged,strong_beta,strong_odds_ratio,strong_ci_low,strong_ci_high
190012,24,True,1.7935525843265177,6.010768342143964,4.544462010269402,7.950189919351599
190013,24,True,1.7939868831122125,6.013379378479966,4.546297805658654,7.953885357998287
190014,25,True,1.7957759557665878,6.0241473805832735,4.553915164359897,7.969044295556027
190015,25,True,1.7948129653604155,6.0183489768021055,4.549805017194885,7.960895965802546
190016,25,True,1.7975920199734667,6.03509755912221,4.561708614551388,7.984377264242415
190017,23,True,1.7948790586067163,6.018746762168672,4.55008753592903,7.961453994251443
190018,25,True,1.7937587898891934,6.0120079238119954,4.545290211301673,7.952020134183531
190019,24,True,1.7937849649865032,6.012165290763967,4.545399827662338,7.952244654802268
190020,16,True,1.7952597543986613,6.021038509935499,4.551736077992252,7.964632420893189
190021,24,True,1.7956401676102922,6.0233294282525875,4.553361075177726,7.967849859092835
190022,20,True,1.7934963157078294,6.010430134027438,4.544138712491042,7.949860838693817
190023,25,True,1.7935588989304163,6.01080629788501,4.544396212830161,7.95040543531154
190024,25,True,1.7935279059753577,6.0106200081224035,4.544252881142257,7.950163388125581
190025,11,True,1.7946066344633789,6.01710733355813,4.548917921599618,7.959163319180621
200004,5,True,1.79516051047132,6.020440988077798,4.551302992738542,7.963809429685531
200005,23,True,1.7946409342074858,6.017313722339456,4.549103753056438,7.959384177317862
200006,25,True,1.7954035550117744,6.021904401221162,4.5523163661210555,7.96590783701312
200007,25,True,1.7958268829440147,6.0244541812179495,4.55411607393316,7.969504420261536
200008,25,True,1.8003071877729309,6.051506127609244,4.573150227599739,8.007768078879176
200009,24,True,1.795839876550559,6.024532461113792,4.554177524818029,7.969603990451389
200010,21,True,1.7946419992663871,6.017320131136411,4.5490934184067235,7.95941921396309
200011,21,True,1.7937194439403976,6.01177138030961,4.545166674782989,7.951610516205173
200012,21,True,1.7936882600682122,6.011583912922274,4.5450249532756555,7.9513625367579
200013,23,True,1.7953439072630177,6.021545218892717,4.552081095738136,7.965369258714891
200014,23,True,1.7962338157594777,6.026906228194893,4.555889949420423,7.972887643626092
200015,24,True,1.7933999002731789,6.0098506637290185,4.54376584380635,7.948980260406094
